id,event_template_id,event_template_qty_id,currency_id,price_base,markup_amount,duration,min_total,reason
1794363,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794365,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794367,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794369,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794371,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794373,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794375,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794377,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794379,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794381,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794383,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794385,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794387,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794389,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794391,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794393,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794395,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794397,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794399,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794401,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794403,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794405,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794407,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794409,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794411,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794413,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794415,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794417,509,24,2,1075.00,161.25,2,2000.00,below_min_total
1794419,509,34,2,1090.00,163.50,2,2000.00,below_min_total
1794421,509,40,2,1105.00,165.75,2,2000.00,below_min_total
1794423,509,41,2,1120.00,168.00,2,2000.00,below_min_total
1794425,509,23,2,1060.00,159.00,2,2000.00,below_min_total
1794427,509,24,2,1075.00,161.25,2,2000.00,below_min_total
