1794331,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794333,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794335,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794337,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794339,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794341,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794343,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794345,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794347,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794349,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794351,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794353,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794355,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794357,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794359,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794361,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794363,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794365,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794367,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794369,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794371,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794373,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794375,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794377,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794379,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794381,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794383,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794385,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794387,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
1794389,509,"Berlin",34,2,1090.00,163.50,2,2000.00,below_min_total,0,""
1794391,509,"Berlin",40,2,1105.00,165.75,2,2000.00,below_min_total,0,""
1794393,509,"Berlin",41,2,1120.00,168.00,2,2000.00,below_min_total,0,""
1794395,509,"Berlin",23,2,1060.00,159.00,2,2000.00,below_min_total,0,""
1794397,509,"Berlin",24,2,1075.00,161.25,2,2000.00,below_min_total,0,""
